251.772,251.737,251.711,251.705,251.695,251.741,251.647,251.623,251.703,251.723,251.729,251.683,251.671,251.609,251.709,251.769,251.673,251.642,251.668,251.7,251.724,251.698,251.682,251.625,251.679,251.695,251.591,251.701,251.709,251.189,251.287,251.598,251.416,250.889,251.558,251.556,251.526,251.68,251.676,251.55,251.559,251.81,251.231,251.953,251.659,251.544,251.098,251.274,251.188
251.657,251.686,251.701,251.67,251.583,251.515,251.517,251.592,251.636,251.587,251.491,251.512,251.52,251.721,251.727,251.611,251.46,251.552,251.688,251.593,251.461,251.533,251.606,251.756,251.669,251.517,251.474,251.648,251.031,251.351,251.45,250.073,251.391,251.242,250.239,250.444,250.854,249.688,249.326,250.788,250.749,250.582,251.093,250.815,251.481,251.133,251.318,251.048,251.07
251.771,251.736,251.71,251.704,251.698,251.743,251.646,251.622,251.702,251.722,251.732,251.689,251.672,251.616,251.714,251.775,251.684,251.648,251.667,251.699,251.723,251.7,251.681,251.624,251.678,251.697,251.595,251.707,251.724,251.203,251.345,251.662,251.423,250.896,251.572,251.575,251.542,251.691,251.717,251.558,251.562,251.819,251.301,251.961,251.67,251.557,251.11,251.273,251.187
251.674,251.587,251.529,251.512,251.532,251.632,251.352,251.286,251.5,251.562,251.612,251.519,251.43,251.351,251.582,251.751,251.538,251.41,251.42,251.498,251.542,251.513,251.449,251.316,251.461,251.507,251.288,251.592,251.685,250.378,251.087,251.853,250.903,249.7,251.323,251.346,251.264,251.581,251.739,251.221,251.367,251.862,251.033,252.262,251.53,251.21,250.032,250.312,250.153
251.674,251.591,251.533,251.515,251.534,251.632,251.356,251.286,251.503,251.562,251.612,251.519,251.434,251.353,251.584,251.755,251.539,251.414,251.416,251.501,251.546,251.517,251.452,251.322,251.457,251.511,251.288,251.592,251.689,250.371,251.086,251.848,250.905,249.702,251.323,251.342,251.268,251.581,251.698,251.176,251.361,251.859,251.035,252.267,251.533,251.207,249.99,250.363,250.198
251.656,251.686,251.7,251.674,251.587,251.515,251.52,251.59,251.638,251.587,251.495,251.504,251.523,251.72,251.726,251.614,251.457,251.555,251.688,251.593,251.469,251.532,251.617,251.762,251.671,251.521,251.478,251.645,251.021,251.348,251.451,250.014,251.322,251.229,250.228,250.439,250.847,249.676,249.307,250.78,250.748,250.587,251.095,250.815,251.477,251.142,251.324,251.047,251.07
251.491,251.549,251.579,251.557,251.368,251.198,251.348,251.458,251.477,251.343,251.186,251.25,251.351,251.62,251.62,251.415,251.18,251.411,251.557,251.356,251.155,251.248,251.477,251.74,251.54,251.256,251.159,251.537,250.308,250.935,251.164,248.689,251.371,250.738,248.835,249.222,249.993,247.695,246.973,249.911,249.794,249.482,250.383,249.805,251.214,250.515,250.858,250.253,250.306
251.741,251.49,251.302,251.335,251.191,251.567,251.657,251.708,251.618,251.482,251.543,251.657,251.694,251.557,250.774,250.774,251.727,251.58,251.533,251.55,251.668,251.701,251.527,251.076,251.057,251.585,251.535,250.297,250.755,251.463,251.142,251.178,249.542,250.005,250.81,251.607,251.044,251.378,251.398,250.488,250.196,250.965,250.412,248.893,250.774,251.856,251.953,250.734,249.898
251.637,251.554,251.458,251.456,251.484,251.591,251.238,251.198,251.438,251.476,251.565,251.451,251.337,251.212,251.563,251.764,251.477,251.316,251.318,251.41,251.497,251.464,251.354,251.189,251.37,251.457,251.167,251.559,251.661,250.109,250.993,251.924,250.767,249.229,250.961,251.21,251.173,251.534,252.006,251.255,251.279,251.886,250.888,252.424,251.48,251.068,249.882,250.325,249.87
251.476,251.535,251.567,251.544,251.37,251.185,251.321,251.444,251.463,251.332,251.173,251.236,251.338,251.608,251.607,251.402,251.139,251.398,251.544,251.357,251.156,251.221,251.437,251.729,251.527,251.242,251.133,251.529,250.295,250.92,251.133,248.707,251.375,250.763,248.811,249.185,249.711,247.441,246.644,249.867,249.749,249.445,250.125,249.616,251.149,250.199,250.539,249.879,249.94
