251.772,251.753,251.554,251.737,251.738,251.712,251.711,251.7,251.694,251.705,251.711,251.727,251.695,251.716,251.725,251.741,251.701,251.682,251.647,251.609,251.583,251.623,251.7,251.689,251.703,251.703,251.715,251.723,251.728,251.737,251.729,251.666,251.658,251.683,251.701,251.706,251.671
251.657,251.668,251.719,251.686,251.681,251.695,251.701,251.703,251.693,251.67,251.664,251.626,251.583,251.522,251.515,251.515,251.552,251.571,251.517,251.543,251.578,251.592,251.608,251.634,251.636,251.632,251.602,251.587,251.577,251.547,251.491,251.522,251.546,251.512,251.482,251.51,251.52
251.771,251.752,251.553,251.736,251.737,251.711,251.71,251.699,251.693,251.704,251.714,251.73,251.698,251.719,251.731,251.743,251.703,251.681,251.646,251.608,251.582,251.622,251.699,251.688,251.702,251.702,251.714,251.722,251.727,251.736,251.732,251.673,251.664,251.689,251.704,251.707,251.672
251.674,251.622,251.126,251.587,251.589,251.528,251.529,251.49,251.486,251.512,251.569,251.61,251.532,251.584,251.633,251.632,251.536,251.447,251.352,251.257,251.194,251.286,251.477,251.448,251.5,251.502,251.532,251.562,251.572,251.593,251.612,251.496,251.466,251.519,251.53,251.52,251.43
251.674,251.626,251.125,251.591,251.593,251.532,251.533,251.49,251.482,251.515,251.572,251.613,251.534,251.584,251.633,251.632,251.536,251.451,251.356,251.261,251.198,251.286,251.477,251.45,251.503,251.505,251.535,251.562,251.572,251.593,251.612,251.496,251.466,251.519,251.53,251.521,251.434
251.656,251.668,251.719,251.686,251.681,251.695,251.7,251.702,251.693,251.674,251.668,251.631,251.587,251.521,251.515,251.515,251.551,251.575,251.52,251.546,251.576,251.59,251.617,251.637,251.638,251.631,251.602,251.587,251.577,251.551,251.495,251.527,251.551,251.504,251.485,251.513,251.523
251.491,251.512,251.622,251.549,251.539,251.569,251.579,251.583,251.566,251.557,251.541,251.467,251.368,251.211,251.195,251.198,251.287,251.362,251.348,251.4,251.435,251.458,251.467,251.47,251.477,251.444,251.387,251.343,251.321,251.298,251.186,251.248,251.314,251.25,251.275,251.331,251.351
251.741,251.633,251.717,251.49,251.494,251.414,251.302,251.379,251.385,251.335,251.255,251.197,251.191,251.465,251.562,251.567,251.54,251.56,251.657,251.728,251.844,251.708,251.626,251.632,251.618,251.672,251.592,251.482,251.573,251.532,251.543,251.643,251.599,251.657,251.691,251.68,251.694
251.637,251.595,251.007,251.554,251.556,251.454,251.458,251.429,251.402,251.456,251.53,251.581,251.484,251.534,251.595,251.591,251.451,251.36,251.238,251.121,251.064,251.198,251.436,251.415,251.438,251.414,251.451,251.476,251.488,251.539,251.565,251.424,251.386,251.451,251.46,251.447,251.337
251.476,251.498,251.608,251.535,251.525,251.556,251.567,251.571,251.554,251.544,251.528,251.454,251.37,251.2,251.183,251.185,251.262,251.336,251.321,251.373,251.407,251.444,251.453,251.457,251.463,251.419,251.361,251.332,251.296,251.285,251.173,251.235,251.3,251.236,251.261,251.317,251.338
